# Original image data
# 32x32
0.004,	0.005,	0.006,	0.003,	0.001,	0.000,	0.002,	0.001,	0.003,	0.003,	0.003,	0.000,	0.004,	0.006,	0.001,	0.002,	0.000,	0.000,	0.004,	0.002,	0.004,	0.004,	0.006,	0.008,	0.003,	0.002,	0.000,	0.001,	0.001,	0.001,	0.000,	0.001
0.004,	0.007,	0.007,	0.007,	0.000,	0.000,	0.001,	0.003,	0.006,	0.008,	0.009,	0.004,	0.004,	0.006,	0.006,	0.003,	0.003,	0.004,	0.006,	0.006,	0.004,	0.002,	0.004,	0.005,	0.002,	0.002,	0.003,	0.001,	0.000,	0.000,	0.002,	0.000
0.005,	0.005,	0.006,	0.005,	0.002,	0.005,	0.016,	0.005,	0.012,	0.015,	0.017,	0.009,	0.003,	0.003,	0.001,	0.003,	0.005,	0.008,	0.014,	0.007,	0.001,	0.003,	0.003,	0.003,	0.001,	0.002,	0.003,	0.000,	0.001,	0.001,	0.001,	0.001
0.000,	0.011,	0.009,	0.006,	0.005,	0.012,	0.017,	0.014,	0.015,	0.025,	0.024,	0.010,	0.004,	0.002,	0.002,	0.000,	0.010,	0.013,	0.020,	0.014,	0.013,	0.008,	0.003,	0.001,	0.001,	0.003,	0.001,	0.000,	0.001,	0.002,	0.001,	0.000
0.010,	0.002,	0.014,	0.012,	0.013,	0.020,	0.032,	0.026,	0.038,	0.046,	0.042,	0.018,	0.001,	0.003,	0.001,	0.004,	0.017,	0.034,	0.031,	0.022,	0.021,	0.026,	0.008,	0.006,	0.000,	0.001,	0.003,	0.001,	0.000,	0.001,	0.001,	0.000
0.004,	0.007,	0.018,	0.009,	0.019,	0.037,	0.040,	0.027,	0.045,	0.051,	0.052,	0.012,	0.010,	0.002,	0.003,	0.003,	0.019,	0.028,	0.041,	0.031,	0.044,	0.055,	0.037,	0.019,	0.003,	0.002,	0.003,	0.001,	0.001,	0.001,	0.001,	0.001
0.005,	0.016,	0.033,	0.017,	0.034,	0.058,	0.080,	0.038,	0.056,	0.049,	0.054,	0.016,	0.019,	0.016,	0.013,	0.006,	0.034,	0.037,	0.047,	0.035,	0.074,	0.079,	0.058,	0.026,	0.008,	0.009,	0.004,	0.000,	0.002,	0.001,	0.001,	0.001
0.007,	0.014,	0.035,	0.024,	0.026,	0.046,	0.053,	0.032,	0.028,	0.031,	0.031,	0.020,	0.018,	0.006,	0.009,	0.006,	0.018,	0.018,	0.032,	0.033,	0.056,	0.055,	0.067,	0.025,	0.014,	0.009,	0.006,	0.000,	0.001,	0.001,	0.000,	0.001
0.025,	0.038,	0.038,	0.035,	0.040,	0.058,	0.042,	0.027,	0.021,	0.028,	0.031,	0.016,	0.025,	0.028,	0.043,	0.024,	0.020,	0.019,	0.022,	0.045,	0.056,	0.090,	0.094,	0.053,	0.016,	0.023,	0.018,	0.001,	0.001,	0.000,	0.002,	0.001
0.023,	0.040,	0.041,	0.031,	0.043,	0.069,	0.044,	0.031,	0.021,	0.040,	0.050,	0.025,	0.035,	0.054,	0.072,	0.038,	0.040,	0.046,	0.044,	0.039,	0.076,	0.093,	0.163,	0.060,	0.045,	0.063,	0.020,	0.011,	0.003,	0.001,	0.000,	0.001
0.025,	0.040,	0.050,	0.030,	0.035,	0.046,	0.057,	0.025,	0.026,	0.033,	0.034,	0.027,	0.045,	0.048,	0.058,	0.038,	0.063,	0.044,	0.044,	0.026,	0.052,	0.086,	0.129,	0.074,	0.067,	0.057,	0.026,	0.005,	0.005,	0.002,	0.002,	0.002
0.027,	0.041,	0.046,	0.025,	0.026,	0.041,	0.047,	0.024,	0.024,	0.030,	0.040,	0.025,	0.050,	0.063,	0.079,	0.042,	0.027,	0.035,	0.040,	0.021,	0.033,	0.067,	0.106,	0.065,	0.068,	0.042,	0.017,	0.009,	0.004,	0.000,	0.005,	0.001
0.023,	0.028,	0.041,	0.025,	0.028,	0.029,	0.036,	0.028,	0.019,	0.025,	0.027,	0.024,	0.047,	0.051,	0.057,	0.031,	0.034,	0.026,	0.033,	0.018,	0.037,	0.045,	0.063,	0.050,	0.054,	0.053,	0.033,	0.012,	0.004,	0.004,	0.002,	0.001
