# Original image data
# 32x32
0.007,	0.014,	0.012,	0.005,	0.004,	0.007,	0.006,	0.007,	0.005,	0.007,	0.008,	0.003,	0.003,	0.011,	0.016,	0.014,	0.043,	0.036,	0.039,	0.019,	0.043,	0.038,	0.000,	0.000,	0.018,	0.029,	0.019,	0.014,	0.007,	0.009,	0.003,	0.003
0.010,	0.016,	0.015,	0.006,	0.004,	0.003,	0.012,	0.010,	0.019,	0.016,	0.011,	0.012,	0.013,	0.024,	0.034,	0.025,	0.041,	0.050,	0.073,	0.025,	0.032,	0.025,	0.007,	0.000,	0.022,	0.025,	0.016,	0.014,	0.014,	0.012,	0.009,	0.003
0.013,	0.010,	0.013,	0.006,	0.008,	0.016,	0.034,	0.013,	0.026,	0.024,	0.024,	0.015,	0.006,	0.005,	0.019,	0.012,	0.041,	0.052,	0.064,	0.038,	0.027,	0.011,	0.012,	0.012,	0.016,	0.018,	0.016,	0.011,	0.013,	0.011,	0.004,	0.003
0.011,	0.018,	0.023,	0.010,	0.011,	0.024,	0.027,	0.013,	0.025,	0.043,	0.030,	0.011,	0.009,	0.010,	0.017,	0.015,	0.037,	0.037,	0.049,	0.033,	0.043,	0.031,	0.037,	0.019,	0.015,	0.023,	0.026,	0.009,	0.013,	0.014,	0.007,	0.008
0.023,	0.018,	0.019,	0.016,	0.009,	0.019,	0.011,	0.014,	0.039,	0.065,	0.051,	0.025,	0.020,	0.034,	0.026,	0.015,	0.036,	0.050,	0.029,	0.018,	0.022,	0.059,	0.031,	0.008,	0.008,	0.015,	0.011,	0.012,	0.006,	0.017,	0.000,	0.004
0.030,	0.012,	0.030,	0.012,	0.032,	0.040,	0.008,	0.016,	0.033,	0.046,	0.045,	0.014,	0.031,	0.038,	0.020,	0.028,	0.027,	0.032,	0.028,	0.016,	0.035,	0.046,	0.030,	0.040,	0.010,	0.019,	0.007,	0.018,	0.010,	0.003,	0.002,	0.027
0.031,	0.047,	0.036,	0.010,	0.041,	0.037,	0.024,	0.018,	0.054,	0.042,	0.030,	0.007,	0.023,	0.017,	0.014,	0.010,	0.032,	0.033,	0.032,	0.017,	0.022,	0.028,	0.027,	0.018,	0.012,	0.015,	0.016,	0.012,	0.003,	0.012,	0.005,	0.007
0.031,	0.033,	0.020,	0.013,	0.025,	0.026,	0.020,	0.015,	0.042,	0.036,	0.015,	0.006,	0.013,	0.008,	0.012,	0.004,	0.025,	0.025,	0.037,	0.021,	0.019,	0.017,	0.029,	0.010,	0.009,	0.011,	0.014,	0.015,	0.005,	0.007,	0.004,	0.008
0.038,	0.044,	0.021,	0.022,	0.034,	0.039,	0.022,	0.015,	0.016,	0.012,	0.014,	0.007,	0.019,	0.020,	0.030,	0.018,	0.025,	0.021,	0.013,	0.024,	0.020,	0.012,	0.019,	0.008,	0.017,	0.017,	0.017,	0.015,	0.002,	0.008,	0.008,	0.007
0.036,	0.043,	0.031,	0.010,	0.024,	0.036,	0.023,	0.018,	0.013,	0.014,	0.026,	0.019,	0.022,	0.034,	0.057,	0.024,	0.033,	0.034,	0.025,	0.019,	0.039,	0.022,	0.030,	0.006,	0.025,	0.020,	0.012,	0.026,	0.003,	0.007,	0.003,	0.008
