   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.0612000e+02   9.1057522e-01   1.8162989e-01   1.6124586e+00   4.7721971e-03
   1.0621000e+02   8.9969823e-01   1.8195820e-01   1.6124586e+00   4.7767721e-03
   1.0630000e+02   9.1732834e-01   1.8228681e-01   1.6124586e+00   4.7813471e-03
   1.0639000e+02   9.4480255e-01   1.8261572e-01   1.6124587e+00   4.7859222e-03
   1.0648000e+02   9.3347264e-01   1.8294493e-01   1.6124587e+00   4.7904973e-03
   1.0657000e+02   9.2530381e-01   1.8327443e-01   1.6124587e+00   4.7950725e-03
   1.0666000e+02   9.3959538e-01   1.8360422e-01   1.6124587e+00   4.7996477e-03
   1.0675000e+02   9.1904255e-01   1.8393432e-01   1.6124587e+00   4.8042229e-03
   1.0684000e+02   9.1454701e-01   1.8426471e-01   1.6124587e+00   4.8087981e-03
   1.0693000e+02   9.2772376e-01   1.8459539e-01   1.6124587e+00   4.8133734e-03
   1.0702000e+02   9.2679384e-01   1.8492637e-01   1.6124587e+00   4.8179486e-03
   1.0711000e+02   9.0965908e-01   1.8525765e-01   1.6124588e+00   4.8225240e-03
   1.0720000e+02   9.1823788e-01   1.8558923e-01   1.6124588e+00   4.8270993e-03
   1.0729000e+02   8.8760609e-01   1.8592110e-01   1.6124588e+00   4.8316747e-03
   1.0738000e+02   8.7632954e-01   1.8625327e-01   1.6124588e+00   4.8362501e-03
   1.0747000e+02   8.9164895e-01   1.8658574e-01   1.6124588e+00   4.8408255e-03
   1.0756000e+02   8.7995721e-01   1.8691850e-01   1.6124588e+00   4.8454010e-03
   1.0765000e+02   8.7714371e-01   1.8725156e-01   1.6124588e+00   4.8499765e-03
   1.0774000e+02   9.0052567e-01   1.8758491e-01   1.6124589e+00   4.8545520e-03
   1.0783000e+02   8.6432706e-01   1.8791856e-01   1.6124589e+00   4.8591275e-03
   1.0792000e+02   8.6631548e-01   1.8825251e-01   1.6124589e+00   4.8637031e-03
   1.0801000e+02   8.8584116e-01   1.8858675e-01   1.6124589e+00   4.8682787e-03
   1.0810000e+02   8.7429722e-01   1.8892129e-01   1.6124589e+00   4.8728543e-03
   1.0819000e+02   8.7855744e-01   1.8925613e-01   1.6124589e+00   4.8774299e-03
   1.0828000e+02   8.9707367e-01   1.8959126e-01   1.6124589e+00   4.8820056e-03
   1.0837000e+02   8.7085540e-01   1.8992669e-01   1.6124590e+00   4.8865813e-03
   1.0846000e+02   8.6537576e-01   1.9026242e-01   1.6124590e+00   4.8911571e-03
   1.0855000e+02   8.6907559e-01   1.9059844e-01   1.6124590e+00   4.8957328e-03
   1.0864000e+02   8.6240053e-01   1.9093476e-01   1.6124590e+00   4.9003086e-03
   1.0873000e+02   8.7317004e-01   1.9127137e-01   1.6124590e+00   4.9048844e-03
   1.0882000e+02   8.7835875e-01   1.9160829e-01   1.6124590e+00   4.9094603e-03
   1.0891000e+02   8.5815406e-01   1.9194550e-01   1.6124590e+00   4.9140361e-03
   1.0900000e+02   8.5192773e-01   1.9228300e-01   1.6124591e+00   4.9186120e-03
   1.0909000e+02   8.4226417e-01   1.9262080e-01   1.6124591e+00   4.9231879e-03
   1.0918000e+02   8.2378765e-01   1.9295890e-01   1.6124591e+00   4.9277639e-03
   1.0927000e+02   8.3653448e-01   1.9329729e-01   1.6124591e+00   4.9323399e-03
   1.0936000e+02   8.4923922e-01   1.9363598e-01   1.6124591e+00   4.9369159e-03
   1.0945000e+02   8.3873480e-01   1.9397497e-01   1.6124591e+00   4.9414919e-03
   1.0954000e+02   8.3620747e-01   1.9431426e-01   1.6124591e+00   4.9460680e-03
   1.0963000e+02   8.4579378e-01   1.9465384e-01   1.6124591e+00   4.9506440e-03
   1.0972000e+02   8.2960579e-01   1.9499371e-01   1.6124592e+00   4.9552201e-03
   1.0981000e+02   8.2912168e-01   1.9533389e-01   1.6124592e+00   4.9597963e-03
   1.0990000e+02   8.3813371e-01   1.9567436e-01   1.6124592e+00   4.9643724e-03
   1.0999000e+02   8.3871011e-01   1.9601512e-01   1.6124592e+00   4.9689486e-03
   1.1008000e+02   8.2363508e-01   1.9635618e-01   1.6124592e+00   4.9735248e-03
   1.1017000e+02   8.2339292e-01   1.9669754e-01   1.6124592e+00   4.9781011e-03
   1.1026000e+02   8.2191861e-01   1.9703920e-01   1.6124592e+00   4.9826773e-03
   1.1035000e+02   8.1279846e-01   1.9738115e-01   1.6124593e+00   4.9872536e-03
   1.1044000e+02   8.1492503e-01   1.9772340e-01   1.6124593e+00   4.9918300e-03
   1.1053000e+02   8.1966590e-01   1.9806594e-01   1.6124593e+00   4.9964063e-03
   1.1062000e+02   8.1309697e-01   1.9840878e-01   1.6124593e+00   5.0009827e-03
   1.1071000e+02   8.1352004e-01   1.9875192e-01   1.6124593e+00   5.0055591e-03
   1.1080000e+02   8.1849064e-01   1.9909536e-01   1.6124593e+00   5.0101355e-03
   1.1089000e+02   8.0764538e-01   1.9943909e-01   1.6124593e+00   5.0147119e-03
   1.1098000e+02   8.0548116e-01   1.9978311e-01   1.6124594e+00   5.0192884e-03
   1.1107000e+02   8.1376841e-01   2.0012744e-01   1.6124594e+00   5.0238649e-03
   1.1116000e+02   8.0132501e-01   2.0047206e-01   1.6124594e+00   5.0284414e-03
   1.1125000e+02   8.0292277e-01   2.0081697e-01   1.6124594e+00   5.0330180e-03
