   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.0612000e+02   8.5847364e-01   3.2768812e-01   1.5968956e+00   8.6936831e-03
   1.0621000e+02   8.4629252e-01   3.2806605e-01   1.5968956e+00   8.6963342e-03
   1.0630000e+02   8.5067925e-01   3.2844420e-01   1.5968956e+00   8.6989867e-03
   1.0639000e+02   8.4625423e-01   3.2882256e-01   1.5968957e+00   8.7016404e-03
   1.0648000e+02   8.4119526e-01   3.2920114e-01   1.5968957e+00   8.7042954e-03
   1.0657000e+02   8.3014699e-01   3.2957994e-01   1.5968957e+00   8.7069516e-03
   1.0666000e+02   8.1883291e-01   3.2995896e-01   1.5968957e+00   8.7096092e-03
   1.0675000e+02   8.0157316e-01   3.3033819e-01   1.5968957e+00   8.7122679e-03
   1.0684000e+02   7.9019891e-01   3.3071765e-01   1.5968957e+00   8.7149280e-03
   1.0693000e+02   7.8081923e-01   3.3109732e-01   1.5968957e+00   8.7175893e-03
   1.0702000e+02   7.8823664e-01   3.3147721e-01   1.5968958e+00   8.7202518e-03
   1.0711000e+02   7.8359193e-01   3.3185731e-01   1.5968958e+00   8.7229156e-03
   1.0720000e+02   7.7654056e-01   3.3223764e-01   1.5968958e+00   8.7255807e-03
   1.0729000e+02   7.6430950e-01   3.3261818e-01   1.5968958e+00   8.7282470e-03
   1.0738000e+02   7.6155177e-01   3.3299894e-01   1.5968958e+00   8.7309145e-03
   1.0747000e+02   7.5069012e-01   3.3337991e-01   1.5968958e+00   8.7335833e-03
   1.0756000e+02   7.5538629e-01   3.3376111e-01   1.5968958e+00   8.7362533e-03
   1.0765000e+02   7.7113440e-01   3.3414252e-01   1.5968959e+00   8.7389246e-03
   1.0774000e+02   7.5741702e-01   3.3452415e-01   1.5968959e+00   8.7415970e-03
   1.0783000e+02   7.4070559e-01   3.3490600e-01   1.5968959e+00   8.7442707e-03
   1.0792000e+02   7.3493294e-01   3.3528807e-01   1.5968959e+00   8.7469456e-03
   1.0801000e+02   7.1449563e-01   3.3567035e-01   1.5968959e+00   8.7496218e-03
   1.0810000e+02   7.2054623e-01   3.3605286e-01   1.5968959e+00   8.7522991e-03
   1.0819000e+02   7.1096760e-01   3.3643558e-01   1.5968959e+00   8.7549777e-03
   1.0828000e+02   6.9085850e-01   3.3681851e-01   1.5968960e+00   8.7576575e-03
   1.0837000e+02   6.9276672e-01   3.3720167e-01   1.5968960e+00   8.7603385e-03
   1.0846000e+02   6.7847857e-01   3.3758504e-01   1.5968960e+00   8.7630206e-03
   1.0855000e+02   6.5844393e-01   3.3796863e-01   1.5968960e+00   8.7657040e-03
   1.0864000e+02   6.7588566e-01   3.3835244e-01   1.5968960e+00   8.7683886e-03
   1.0873000e+02   6.7459419e-01   3.3873647e-01   1.5968960e+00   8.7710744e-03
   1.0882000e+02   6.5596297e-01   3.3912071e-01   1.5968960e+00   8.7737614e-03
