# Original image data
# 32x32
0.003,	0.004,	0.006,	0.003,	0.001,	0.000,	0.002,	0.000,	0.003,	0.003,	0.003,	0.000,	0.003,	0.006,	0.001,	0.001,	0.004,	0.006,	0.001,	0.000,	0.001,	0.003,	0.006,	0.008,	0.005,	0.004,	0.001,	0.002,	0.002,	0.002,	0.001,	0.001
0.003,	0.006,	0.005,	0.006,	0.002,	0.003,	0.003,	0.005,	0.009,	0.013,	0.015,	0.004,	0.003,	0.003,	0.003,	0.002,	0.000,	0.001,	0.004,	0.003,	0.002,	0.001,	0.003,	0.004,	0.006,	0.005,	0.005,	0.001,	0.001,	0.001,	0.003,	0.001
0.005,	0.004,	0.006,	0.006,	0.006,	0.009,	0.025,	0.010,	0.022,	0.024,	0.024,	0.013,	0.002,	0.002,	0.001,	0.001,	0.003,	0.005,	0.012,	0.006,	0.001,	0.000,	0.002,	0.001,	0.003,	0.005,	0.001,	0.000,	0.000,	0.002,	0.001,	0.003
0.001,	0.011,	0.011,	0.006,	0.012,	0.024,	0.032,	0.022,	0.032,	0.040,	0.035,	0.013,	0.005,	0.005,	0.002,	0.003,	0.012,	0.011,	0.021,	0.014,	0.016,	0.008,	0.003,	0.005,	0.001,	0.005,	0.002,	0.001,	0.001,	0.005,	0.002,	0.001
0.010,	0.004,	0.014,	0.013,	0.021,	0.034,	0.054,	0.040,	0.049,	0.064,	0.059,	0.025,	0.006,	0.007,	0.007,	0.008,	0.019,	0.039,	0.036,	0.023,	0.022,	0.030,	0.009,	0.008,	0.002,	0.001,	0.000,	0.001,	0.001,	0.000,	0.000,	0.002
0.006,	0.011,	0.019,	0.016,	0.025,	0.049,	0.053,	0.033,	0.056,	0.070,	0.061,	0.019,	0.015,	0.011,	0.006,	0.010,	0.021,	0.029,	0.044,	0.034,	0.052,	0.061,	0.039,	0.016,	0.003,	0.000,	0.002,	0.001,	0.001,	0.000,	0.000,	0.001
0.010,	0.023,	0.039,	0.022,	0.050,	0.069,	0.090,	0.049,	0.067,	0.065,	0.074,	0.028,	0.031,	0.027,	0.019,	0.010,	0.035,	0.038,	0.049,	0.033,	0.087,	0.087,	0.058,	0.026,	0.009,	0.008,	0.004,	0.001,	0.002,	0.002,	0.001,	0.001
0.014,	0.021,	0.036,	0.031,	0.030,	0.051,	0.062,	0.036,	0.034,	0.040,	0.046,	0.033,	0.029,	0.013,	0.015,	0.009,	0.020,	0.020,	0.038,	0.039,	0.058,	0.058,	0.064,	0.021,	0.013,	0.006,	0.004,	0.000,	0.002,	0.001,	0.000,	0.000
0.031,	0.046,	0.043,	0.038,	0.045,	0.049,	0.038,	0.029,	0.025,	0.032,	0.035,	0.019,	0.040,	0.038,	0.043,	0.023,	0.018,	0.022,	0.020,	0.044,	0.054,	0.074,	0.071,	0.043,	0.013,	0.023,	0.016,	0.002,	0.001,	0.001,	0.001,	0.000
0.028,	0.047,	0.045,	0.033,	0.044,	0.063,	0.041,	0.036,	0.026,	0.046,	0.047,	0.025,	0.060,	0.073,	0.070,	0.033,	0.040,	0.054,	0.043,	0.034,	0.067,	0.079,	0.135,	0.047,	0.038,	0.050,	0.017,	0.009,	0.003,	0.001,	0.001,	0.001
0.024,	0.040,	0.053,	0.031,	0.035,	0.041,	0.049,	0.024,	0.031,	0.036,	0.031,	0.019,	0.062,	0.059,	0.052,	0.028,	0.064,	0.046,	0.041,	0.025,	0.041,	0.074,	0.113,	0.062,	0.053,	0.046,	0.020,	0.002,	0.004,	0.004,	0.004,	0.005
0.024,	0.042,	0.042,	0.028,	0.026,	0.032,	0.040,	0.023,	0.034,	0.039,	0.029,	0.014,	0.062,	0.076,	0.067,	0.038,	0.035,	0.042,	0.039,	0.021,	0.029,	0.059,	0.088,	0.056,	0.055,	0.033,	0.013,	0.007,	0.002,	0.001,	0.012,	0.005
