# Original image data
# 32x32
0.004,	0.004,	0.006,	0.003,	0.001,	0.001,	0.002,	0.000,	0.002,	0.002,	0.003,	0.001,	0.003,	0.006,	0.002,	0.001,	0.003,	0.005,	0.002,	0.000,	0.001,	0.003,	0.006,	0.008,	0.001,	0.001,	0.002,	0.002,	0.002,	0.002,	0.001,	0.001
0.004,	0.006,	0.006,	0.006,	0.001,	0.003,	0.002,	0.003,	0.006,	0.009,	0.010,	0.003,	0.004,	0.004,	0.004,	0.001,	0.000,	0.000,	0.003,	0.001,	0.002,	0.002,	0.003,	0.003,	0.001,	0.000,	0.001,	0.002,	0.002,	0.002,	0.003,	0.001
0.005,	0.004,	0.006,	0.005,	0.005,	0.007,	0.017,	0.006,	0.016,	0.018,	0.021,	0.011,	0.003,	0.002,	0.000,	0.002,	0.002,	0.003,	0.009,	0.004,	0.002,	0.002,	0.001,	0.002,	0.000,	0.002,	0.005,	0.001,	0.000,	0.002,	0.002,	0.004
0.001,	0.010,	0.011,	0.006,	0.007,	0.017,	0.024,	0.017,	0.024,	0.030,	0.029,	0.012,	0.005,	0.004,	0.000,	0.001,	0.009,	0.005,	0.014,	0.011,	0.011,	0.007,	0.003,	0.002,	0.001,	0.001,	0.001,	0.001,	0.002,	0.006,	0.002,	0.001
0.009,	0.004,	0.014,	0.011,	0.020,	0.028,	0.043,	0.033,	0.043,	0.057,	0.053,	0.023,	0.004,	0.006,	0.005,	0.006,	0.015,	0.032,	0.026,	0.017,	0.016,	0.023,	0.007,	0.007,	0.001,	0.002,	0.004,	0.000,	0.001,	0.001,	0.001,	0.002
0.006,	0.011,	0.018,	0.013,	0.021,	0.044,	0.047,	0.032,	0.050,	0.064,	0.059,	0.018,	0.013,	0.010,	0.005,	0.007,	0.017,	0.025,	0.039,	0.028,	0.041,	0.053,	0.034,	0.012,	0.003,	0.001,	0.004,	0.002,	0.001,	0.001,	0.001,	0.001
0.010,	0.020,	0.036,	0.020,	0.045,	0.069,	0.082,	0.045,	0.070,	0.068,	0.073,	0.028,	0.030,	0.026,	0.018,	0.008,	0.034,	0.034,	0.044,	0.035,	0.083,	0.073,	0.054,	0.024,	0.008,	0.008,	0.003,	0.000,	0.002,	0.001,	0.002,	0.001
0.012,	0.020,	0.035,	0.027,	0.031,	0.048,	0.059,	0.038,	0.037,	0.042,	0.049,	0.032,	0.028,	0.012,	0.014,	0.007,	0.019,	0.022,	0.037,	0.033,	0.056,	0.056,	0.056,	0.021,	0.012,	0.007,	0.005,	0.001,	0.001,	0.001,	0.000,	0.001
0.031,	0.047,	0.043,	0.039,	0.045,	0.054,	0.040,	0.031,	0.028,	0.030,	0.031,	0.017,	0.039,	0.038,	0.040,	0.018,	0.016,	0.020,	0.022,	0.046,	0.062,	0.078,	0.073,	0.042,	0.011,	0.019,	0.012,	0.001,	0.000,	0.000,	0.001,	0.000
0.030,	0.047,	0.047,	0.035,	0.048,	0.064,	0.044,	0.039,	0.027,	0.040,	0.039,	0.022,	0.057,	0.073,	0.066,	0.026,	0.034,	0.045,	0.040,	0.035,	0.079,	0.086,	0.130,	0.049,	0.032,	0.049,	0.015,	0.006,	0.002,	0.002,	0.001,	0.001
0.029,	0.045,	0.059,	0.035,	0.038,	0.042,	0.053,	0.026,	0.029,	0.034,	0.029,	0.018,	0.063,	0.065,	0.056,	0.026,	0.061,	0.044,	0.041,	0.025,	0.051,	0.088,	0.124,	0.064,	0.049,	0.043,	0.018,	0.000,	0.003,	0.003,	0.003,	0.004
0.026,	0.046,	0.049,	0.031,	0.030,	0.036,	0.043,	0.023,	0.032,	0.041,	0.032,	0.014,	0.065,	0.083,	0.071,	0.038,	0.036,	0.040,	0.039,	0.022,	0.032,	0.068,	0.103,	0.061,	0.058,	0.028,	0.010,	0.004,	0.002,	0.001,	0.009,	0.004
0.024,	0.026,	0.043,	0.029,	0.029,	0.026,	0.030,	0.023,	0.017,	0.030,	0.023,	0.013,	0.061,	0.066,	0.054,	0.024,	0.049,	0.039,	0.034,	0.019,	0.029,	0.046,	0.068,	0.049,	0.048,	0.041,	0.024,	0.009,	0.003,	0.002,	0.003,	0.000
0.013,	0.030,	0.042,	0.020,	0.021,	0.033,	0.034,	0.020,	0.017,	0.031,	0.023,	0.015,	0.045,	0.063,	0.057,	0.018,	0.032,	0.049,	0.038,	0.024,	0.025,	0.045,	0.077,	0.049,	0.046,	0.046,	0.031,	0.010,	0.002,	0.001,	0.002,	0.001
0.021,	0.031,	0.030,	0.029,	0.034,	0.061,	0.060,	0.028,	0.063,	0.039,	0.019,	0.017,	0.055,	0.094,	0.098,	0.131,	0.088,	0.076,	0.088,	0.030,	0.035,	0.039,	0.057,	0.039,	0.049,	0.043,	0.022,	0.013,	0.001,	0.001,	0.001,	0.000
0.016,	0.026,	0.038,	0.019,	0.031,	0.058,	0.065,	0.033,	0.039,	0.031,	0.020,	0.010,	0.059,	0.076,	0.105,	0.060,	0.105,	0.095,	0.104,	0.036,	0.029,	0.026,	0.041,	0.030,	0.024,	0.010,	0.000,	0.008,	0.000,	0.001,	0.001,	0.002
0.011,	0.021,	0.034,	0.022,	0.034,	0.051,	0.046,	0.032,	0.048,	0.036,	0.033,	0.023,	0.039,	0.058,	0.083,	0.069,	0.096,	0.094,	0.046,	0.025,	0.021,	0.029,	0.030,	0.011,	0.006,	0.002,	0.000,	0.001,	0.004,	0.003,	0.006,	0.006
0.016,	0.030,	0.066,	0.041,	0.042,	0.054,	0.040,	0.044,	0.093,	0.100,	0.070,	0.044,	0.053,	0.077,	0.138,	0.136,	0.123,	0.118,	0.088,	0.047,	0.039,	0.054,	0.040,	0.014,	0.013,	0.006,	0.004,	0.000,	0.005,	0.004,	0.006,	0.006
0.017,	0.025,	0.043,	0.030,	0.059,	0.057,	0.045,	0.022,	0.061,	0.071,	0.049,	0.039,	0.067,	0.068,	0.095,	0.085,	0.118,	0.073,	0.058,	0.037,	0.017,	0.016,	0.025,	0.008,	0.024,	0.009,	0.002,	0.002,	0.002,	0.006,	0.008,	0.004
0.014,	0.037,	0.080,	0.032,	0.071,	0.063,	0.056,	0.025,	0.064,	0.068,	0.047,	0.058,	0.058,	0.073,	0.075,	0.069,	0.103,	0.087,	0.060,	0.046,	0.026,	0.010,	0.033,	0.021,	0.020,	0.013,	0.019,	0.000,	0.003,	0.006,	0.005,	0.005
