# Original image data
# 32x32
0.003,	0.004,	0.005,	0.003,	0.000,	0.004,	0.010,	0.007,	0.013,	0.017,	0.017,	0.008,	0.004,	0.011,	0.010,	0.012,	0.008,	0.015,	0.018,	0.008,	0.012,	0.007,	0.006,	0.008,	0.003,	0.002,	0.001,	0.002,	0.002,	0.003,	0.001,	0.002
0.003,	0.005,	0.005,	0.006,	0.003,	0.007,	0.018,	0.016,	0.021,	0.024,	0.020,	0.008,	0.002,	0.007,	0.007,	0.004,	0.011,	0.016,	0.012,	0.015,	0.008,	0.003,	0.004,	0.004,	0.004,	0.002,	0.003,	0.002,	0.003,	0.002,	0.005,	0.001
0.004,	0.003,	0.004,	0.003,	0.001,	0.003,	0.013,	0.004,	0.010,	0.014,	0.008,	0.008,	0.002,	0.004,	0.008,	0.004,	0.003,	0.004,	0.014,	0.008,	0.003,	0.005,	0.002,	0.002,	0.003,	0.004,	0.002,	0.000,	0.001,	0.004,	0.002,	0.003
0.001,	0.009,	0.008,	0.004,	0.003,	0.006,	0.009,	0.010,	0.008,	0.010,	0.011,	0.006,	0.004,	0.006,	0.007,	0.004,	0.004,	0.003,	0.017,	0.011,	0.005,	0.003,	0.002,	0.001,	0.002,	0.003,	0.000,	0.002,	0.002,	0.008,	0.003,	0.002
0.008,	0.000,	0.008,	0.007,	0.000,	0.004,	0.008,	0.013,	0.017,	0.016,	0.019,	0.010,	0.003,	0.005,	0.005,	0.010,	0.011,	0.019,	0.019,	0.015,	0.001,	0.006,	0.001,	0.000,	0.004,	0.001,	0.000,	0.001,	0.001,	0.001,	0.001,	0.002
0.003,	0.003,	0.010,	0.005,	0.000,	0.003,	0.006,	0.004,	0.010,	0.011,	0.023,	0.009,	0.006,	0.005,	0.005,	0.006,	0.006,	0.006,	0.008,	0.004,	0.011,	0.005,	0.003,	0.003,	0.001,	0.003,	0.001,	0.000,	0.001,	0.001,	0.000,	0.001
0.001,	0.003,	0.008,	0.002,	0.001,	0.003,	0.004,	0.004,	0.003,	0.007,	0.017,	0.006,	0.012,	0.010,	0.006,	0.005,	0.007,	0.008,	0.009,	0.004,	0.007,	0.005,	0.002,	0.002,	0.002,	0.000,	0.000,	0.000,	0.003,	0.001,	0.002,	0.001
0.002,	0.003,	0.005,	0.003,	0.001,	0.001,	0.002,	0.001,	0.001,	0.001,	0.005,	0.004,	0.006,	0.002,	0.004,	0.002,	0.004,	0.002,	0.004,	0.003,	0.003,	0.002,	0.001,	0.001,	0.002,	0.001,	0.002,	0.001,	0.001,	0.001,	0.000,	0.001
0.006,	0.010,	0.006,	0.004,	0.002,	0.002,	0.004,	0.006,	0.005,	0.013,	0.013,	0.006,	0.004,	0.003,	0.005,	0.003,	0.003,	0.004,	0.006,	0.005,	0.003,	0.003,	0.006,	0.003,	0.011,	0.013,	0.010,	0.004,	0.000,	0.001,	0.000,	0.000
0.008,	0.009,	0.007,	0.004,	0.002,	0.005,	0.007,	0.006,	0.005,	0.008,	0.007,	0.005,	0.005,	0.007,	0.011,	0.006,	0.004,	0.005,	0.006,	0.011,	0.008,	0.004,	0.006,	0.007,	0.016,	0.016,	0.009,	0.002,	0.002,	0.000,	0.001,	0.000
0.010,	0.007,	0.010,	0.005,	0.003,	0.009,	0.016,	0.008,	0.011,	0.010,	0.008,	0.007,	0.010,	0.012,	0.022,	0.013,	0.024,	0.006,	0.013,	0.007,	0.010,	0.009,	0.011,	0.004,	0.014,	0.014,	0.010,	0.006,	0.002,	0.002,	0.003,	0.004
0.004,	0.013,	0.007,	0.004,	0.002,	0.008,	0.014,	0.012,	0.012,	0.013,	0.011,	0.006,	0.014,	0.019,	0.034,	0.017,	0.008,	0.007,	0.014,	0.009,	0.011,	0.021,	0.013,	0.003,	0.001,	0.025,	0.009,	0.003,	0.000,	0.001,	0.010,	0.004
0.009,	0.002,	0.009,	0.005,	0.009,	0.013,	0.027,	0.021,	0.026,	0.031,	0.037,	0.020,	0.047,	0.052,	0.065,	0.035,	0.030,	0.031,	0.028,	0.014,	0.016,	0.016,	0.016,	0.008,	0.010,	0.013,	0.012,	0.004,	0.001,	0.001,	0.003,	0.001
0.003,	0.006,	0.009,	0.005,	0.010,	0.022,	0.032,	0.023,	0.032,	0.052,	0.036,	0.040,	0.048,	0.045,	0.051,	0.024,	0.041,	0.054,	0.064,	0.039,	0.030,	0.032,	0.027,	0.010,	0.007,	0.012,	0.015,	0.007,	0.001,	0.000,	0.003,	0.002
0.004,	0.008,	0.008,	0.010,	0.016,	0.048,	0.059,	0.039,	0.085,	0.070,	0.056,	0.091,	0.076,	0.058,	0.112,	0.067,	0.093,	0.069,	0.084,	0.036,	0.031,	0.020,	0.016,	0.011,	0.001,	0.003,	0.012,	0.020,	0.002,	0.002,	0.002,	0.002
